,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
101,,,,,,,,,,,,,,,,58.7799606323242,58.9324607849121,59.2670288085938,59.9891586303711,60.70854187011721,61.1862907409668,61.975669860839794,62.734169006347706,63.5364799499512,64.3201370239258,65.0321502685547,65.6970367431641,66.50502777099611,68.6112899780273,69.24124145507811,69.6134719848633,70.2956619262695,70.9030685424805,71.4220428466797,71.9273300170898,72.4131774902344,72.9427719116211,75.4657363891602,76.9546127319336,77.36090087890629,77.62660217285159,77.9346466064453,78.3866424560547,79.0312576293945,79.6465072631836,79.6309509277344,79.5772476196289,80.317741394043,80.7690811157227,81.1748428344727,81.67029000000001,81.93721,82.35303,82.56062,82.97848,83.34816,83.71072,83.98566,84.19382,85.7941374051045,86.32282406946229,86.85151073381985,87.38019739817742,87.90888406253521,88.43757072689277,88.96625739125034
102,,,,,,,,,,,,,,,,,,,,,,44.852611541748,45.2134017944336,45.541088104248,45.915618896484396,46.2972183227539,46.6470603942871,47.171760559082,47.973518371582,48.5389404296875,49.135440826415994,49.5329399108887,50.40177917480471,51.2394905090332,52.048511505127,52.622829437255895,53.2715187072754,54.037570953369105,55.361629486084006,56.1284294128418,55.5755805969238,56.363521575927706,57.077510833740206,57.7803802490234,59.118648529052706,58.808048248290994,58.758640289306605,58.31108093261721,59.43962097167971,60.106170654296896,60.520869999999995,60.685269999999996,61.67556999999999,62.12955,62.91562,63.802640000000004,65.25168000000001,66.01621,66.35453000000001,62.43780290497136,62.7448358097638,63.05186871455612,63.35890161934856,63.665934524140994,63.972967428933316,64.28000033372575
103,,,,,,,,,,,,,,,,,,,,,48.5367317199707,48.6450881958008,49.094520568847706,49.4187889099121,49.734500885009794,50.0550308227539,50.3752098083496,51.029659271240206,51.695671081543,52.22785949707029,52.905941009521506,53.7565994262695,55.3350601196289,56.98725891113279,57.7459106445313,58.4911918640137,59.330039978027294,60.0995483398438,61.0528907775879,61.659751892089794,58.6701812744141,59.5835189819336,60.2488288879395,60.850471496582,62.043670654296896,61.4479904174805,62.322021484375,61.5718193054199,61.691001892089794,62.594841003418,63.028999999999996,63.09089,64.44268000000001,64.31306,65.15158000000001,65.56206999999999,66.23999,67.07135,67.0462,65.18486218910505,65.47018399065848,65.75550579221192,66.04082759376536,66.3261493953188,66.61147119687212,66.89679299842555
104,,,,,,,,,,,,,,,,,,,,,67.3126678466797,,,,,,,,,,81.5198516845703,,,,,,,,,,,,,,90.38479,,91.98227,,92.1923,92.5817,,92.81191,,,95.11622,95.21793000000001,95.37697,,95.65856,92.67959854330235,92.79066071923066,92.901722895159,93.01278507108731,93.12384724701562,93.23490942294393,93.34597159887227
105,,,,,,,,,,,,,,,,,,,,,,,43.19889831542971,43.528350830078104,43.9334182739258,44.3467216491699,44.7119483947754,45.1693115234375,46.041530609130895,46.6241989135742,47.178348541259794,47.3454704284668,47.8526496887207,48.276050567627,49.1168403625488,49.6081008911133,50.1578216552734,50.920101165771506,52.43257141113279,53.2794418334961,53.980541229248,54.7038688659668,55.4430809020996,56.1981201171875,57.6109199523926,57.446868896484396,56.92008972167971,56.627410888671896,58.27619934082029,58.8190689086914,59.222669999999994,59.44031,60.24365,60.99984,61.75931,62.8935,64.74183000000001,65.47285,65.99904000000001,60.89609438864625,61.20311527659862,61.51013616455111,61.81715705250349,62.124177940455866,62.431198828408355,62.73821971636073
107,,,,,,,,,,,,,,,,,,,,,,40.7635917663574,,,,,,,,,,48.2220687866211,,,,,,,,,,61.014559999999996,,,,,62.75447,,,,,69.30256,,,,,,,74.37299,61.77738840841374,61.87623625492421,61.975084101434646,62.073931947945084,62.17277979445552,62.27162764096596,62.370475487476426
110,,,,,,,,,,,,,,,,,36.5183982849121,,,,,,,,,,52.319759368896506,,,,,65.53140258789061,,,,,73.0602493286133,,,,,,77.0,,,82.4412,82.33131999999999,,82.9623,,,,83.62599,84.6268,84.70524,,85.54425,,,79.87155630634055,80.10694438309673,80.34233245985291,80.57772053660904,80.81310861336522,81.0484966901214,81.28388476687752
116,,,,,,,,,,,,,,,,,,,,66.7968063354492,,,,,,,,,,,,,,,,,,,,,,,,89.89232,,91.13075,,92.19958000000001,,,92.55104,95.90445,97.89031999999999,,,,,,98.22711,92.83693480345381,92.93122179351725,93.02550878358069,93.11979577364413,93.21408276370757,93.30836975377103,93.40265674383447
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.3350296020508,,,,,,73.60995,,,,77.58654,73.90003,,,,,78.05509,80.52649,,,,75.5521830668282,75.56815507237624,75.5841270779243,75.60009908347234,75.61607108902038,75.63204309456843,75.64801510011648
125,,,,,,,,,,,,,,,,59.564388275146506,,,,,67.5176620483398,,,,,74.4908676147461,,,,,,,,,,78.3955001831055,,,,,,,,,,93.27445999999999,93.28211999999999,93.66419,93.8983,,94.46901,,95.51317,95.58582,,95.68545,,96.03595,96.05646999999999,93.72785882669285,93.98011080720585,94.23236278771884,94.48461476823184,94.73686674874483,94.98911872925777,95.24137070977076
